Dataset,NN,GRAIL exact classification precision,GRAIL exact precision,GRAIL exact time,PQ classification precision,PQ precision,PQ time,OPQ (64) classification precision,OPQ (64) precision,OPQ (64) time,OPQ (128) classification precision,OPQ (128) precision,OPQ (128) time,TRAIN_size,TEST_size
SonyAIBORobotSurface2,10,0.784889822,0.644596013,0.335235596,0.786988458,0.608604407,0.293934822,0.795383001,0.598321091,0.30914402,0.796432319,0.61112277,0.515123606,27,953
StarLightCurves,1,0.908693541,0.640480816,97.05774498,0.894244779,0.187469645,6.200997591,0.904443905,0.185041282,6.411639452,0.894123361,0.310223409,18.39006567,1000,8236
StarLightCurves,3,0.912943176,0.729318439,96.59592867,0.903229723,0.299133884,6.614832163,0.911486158,0.304759592,10.73397827,0.910271977,0.448437753,27.7103951,1000,8236
StarLightCurves,5,0.913914522,0.771685284,96.08503485,0.902986887,0.36056338,6.708195686,0.908450704,0.370762506,23.02933884,0.912214667,0.509616319,15.91994286,1000,8236
StarLightCurves,10,0.904808159,0.817229237,96.46165013,0.898980087,0.442642059,6.897957087,0.899222924,0.468176299,30.36950731,0.900315687,0.596381739,15.28452587,1000,8236
Strawberry,1,0.932432432,0.981081081,2.64199543,0.902702703,0.345945946,0.207647562,0.913513514,0.372972973,0.215898514,0.940540541,0.489189189,0.332884312,613,370
Strawberry,3,0.913513514,0.98018018,2.676786184,0.875675676,0.348648649,0.223889828,0.889189189,0.478378378,0.743956804,0.932432432,0.56036036,0.885384321,613,370
Strawberry,5,0.916216216,0.978918919,2.707340717,0.891891892,0.364864865,0.229361057,0.891891892,0.52,1.479162216,0.921621622,0.591891892,1.259568453,613,370
Strawberry,10,0.891891892,0.988108108,2.703483343,0.872972973,0.406216216,0.236903191,0.886486486,0.594324324,0.260676384,0.905405405,0.654324324,0.796076775,613,370
SwedishLeaf,1,0.8624,0.728,3.637373686,0.7472,0.2768,0.316988468,0.7952,0.3056,0.328908682,0.8464,0.4144,0.513097525,500,625
SwedishLeaf,3,0.8448,0.7728,3.646542549,0.7152,0.386133333,0.338322163,0.8016,0.410133333,0.351688385,0.8272,0.5056,0.532476664,500,625
SwedishLeaf,5,0.8432,0.78656,3.664180517,0.7232,0.41088,0.342510462,0.7872,0.46912,0.367852688,0.8096,0.56768,0.584984064,500,625
SwedishLeaf,10,0.8304,0.79488,3.705135345,0.6704,0.476,0.354840994,0.7616,0.54544,0.36984086,0.7952,0.62272,0.568151474,500,625
Symbols,1,0.910552764,0.884422111,0.297686577,0.781909548,0.509547739,0.272387505,0.905527638,0.805025126,0.291571379,0.908542714,0.832160804,0.596747398,25,995
Symbols,3,0.893467337,0.979229481,0.312625408,0.767839196,0.69681742,0.2876122,0.883417085,0.911557789,0.309461594,0.891457286,0.932998325,2.115539551,25,995
Symbols,5,0.874371859,0.971256281,0.318645716,0.67638191,0.631155779,0.294632673,0.859296482,0.922211055,0.31340313,0.846231156,0.914974874,0.532216311,25,995
Symbols,10,0.35879397,0.986532663,0.328731298,0.337688442,0.672160804,0.304209948,0.351758794,0.895276382,0.328658819,0.232160804,0.82040201,0.540603876,25,995
SyntheticControl,1,0.993333333,0.24,1.048883438,0.976666667,0.113333333,0.123383522,0.983333333,0.143333333,0.129419327,0.983333333,0.213333333,0.224803209,300,300
SyntheticControl,3,0.993333333,0.384444444,1.053356409,0.973333333,0.265555556,0.131273031,0.986666667,0.295555556,0.136542082,0.986666667,0.36,0.253287554,300,300
SyntheticControl,5,0.99,0.464666667,1.065388918,0.97,0.344,0.132679939,0.99,0.390666667,0.150057554,0.986666667,0.446666667,1.199002743,300,300
SyntheticControl,10,0.983333333,0.576,1.078399658,0.966666667,0.438,0.138696909,0.983333333,0.525333333,0.521178007,0.983333333,0.57,1.199036121,300,300
ToeSegmentation1,1,0.837719298,0.552631579,0.108349085,0.828947368,0.460526316,0.064627409,0.828947368,0.622807018,0.068912983,0.837719298,0.618421053,0.118360281,40,228
ToeSegmentation1,3,0.780701754,0.671052632,0.111200809,0.807017544,0.593567251,0.068612099,0.76754386,0.692982456,0.072973251,0.815789474,0.706140351,0.123093128,40,228
ToeSegmentation1,5,0.76754386,0.695614035,0.113447666,0.811403509,0.628070175,0.069453955,0.754385965,0.722807018,0.074412346,0.763157895,0.734210526,0.415455103,40,228
ToeSegmentation1,10,0.622807018,0.738157895,0.1159482,0.75877193,0.653070175,0.072592497,0.631578947,0.703508772,0.076972961,0.627192982,0.753508772,0.90739131,40,228
ToeSegmentation2,1,0.907692308,0.638461538,0.055781364,0.792307692,0.407692308,0.036737919,0.876923077,0.476923077,0.039002419,0.861538462,0.653846154,0.067795038,36,130
ToeSegmentation2,3,0.892307692,0.725641026,0.057480574,0.784615385,0.448717949,0.038671494,0.9,0.643589744,0.066910028,0.907692308,0.782051282,0.140376091,36,130
ToeSegmentation2,5,0.9,0.74,0.057793856,0.815384615,0.489230769,0.039577484,0.923076923,0.681538462,0.041909933,0.9,0.769230769,0.070208311,36,130
ToeSegmentation2,10,0.861538462,0.802307692,0.059788465,0.830769231,0.617692308,0.040900946,0.892307692,0.767692308,0.043371201,0.892307692,0.803076923,0.071974993,36,130
Trace,1,0.82,0.97,0.117681742,0.66,0.53,0.031502962,0.82,0.48,0.067272902,0.85,0.73,0.113563538,100,100
Trace,3,0.76,0.953333333,0.119127035,0.6,0.553333333,0.033475399,0.8,0.676666667,0.185870171,0.83,0.776666667,0.395282507,100,100
Trace,5,0.72,0.976,0.120496035,0.64,0.576,0.034161568,0.77,0.76,0.081706524,0.77,0.846,0.061348677,100,100
Trace,10,0.71,0.993,0.122324228,0.58,0.626,0.035731077,0.81,0.863,0.195089817,0.76,0.893,0.39929533,100,100
TwoLeadECG,1,0.895522388,0.959613696,0.314958096,0.986830553,0.436347673,0.31098628,0.913959614,0.776997366,0.333620071,0.914837577,0.822651449,0.588823795,23,1139
TwoLeadECG,3,0.834942932,0.963125549,0.331527948,0.946444249,0.601697395,0.329150438,0.858647937,0.804506877,0.351361752,0.853380158,0.839625402,0.600467682,23,1139
TwoLeadECG,5,0.77260755,0.973661106,0.336678743,0.867427568,0.666549605,0.333333969,0.766461809,0.836698859,0.381696701,0.791044776,0.871115013,0.610395193,23,1139
TwoLeadECG,10,0.640913082,0.989903424,0.349426031,0.814749781,0.786742757,0.345066547,0.737489025,0.89332748,0.378187418,0.714661984,0.913696225,0.615664482,23,1139
TwoPatterns,1,0.99875,0.63075,45.96879363,0.983,0.36425,2.993448257,0.99475,0.22825,3.837812901,0.99875,0.3745,5.143502951,1000,4000
